OID_,_id1,OBJECTI2,SEGMENT3,INSTALL4,UPGRADE5,PRE_AMA6,STREET_7,FROM_ST8,TO_STRE9,ROADCLA10,CNPCLAS11,SURFACE12,OWNER13,DIR_LOW14,INFRA_L15,SEPA_LO16,SEPB_LO17,ORIG_LO18,DIR_HIG19,INFRA_H20,SEPA_HI21,SEPB_HI22,ORIG_HI23,BYLAWED24,EDITOR25,LAST_ED26,UPGRADE27,CONVERT28,starx,stary,ex,ey,cex,cey,len,lennorm,OBJECTID,Join_Count,TARGET_FID,_id1_1,CENTREL2,LINEAR_26,LINEAR_27,LINEAR_28,LINEAR_29,LINEAR_30,FROM_IN31,TO_INTE32,ONEWAY_33,ONEWAY_34,FEATURE35,FEATURE36,JURISDI37,CENTREL38,OBJECTI39,MI_PRIN40,lenkm,Shape_Length
527,528,528,528,2003,0, ,Brown's Line,C N R,Lake Shore Blvd W, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.54283476,43.59229504,-79.54163234,43.5938541,-79.54211996,43.59276352,236.1129195,0,63,5,527,528,14659688,Brown's,Line,None,None,Brown's Line,13470652,13470690,1,Follow-Digitization,201201,Major Arterial Ramp,CITY OF TORONTO,None,227662,227662,0.23481218,0.002443037
530,531,531,531,2003,0, ,Brown's Line,38.7 M N C N R,C N R, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.54163234,43.5938541,-79.54178416,43.59418462,-79.54170825,43.59401936,38.71393932,0,64,4,530,531,914741,Brown's,Line,None,None,Brown's Line,13470652,13470644,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,115,115,0.038713939,0.000363715
531,532,532,532,2004,0, ,Sheppard Ave E,Meadownvale Rd,142.9 M W Twyn Rivers Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.17081142,43.80837621,-79.16743189,43.80913163,-79.16912099,43.80875092,284.5894654,0,65,5,531,532,20080167,Sheppard,Ave,E,None,Sheppard Ave E,13442521,20080169,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,5365,5365,0.284589169,0.003462946
536,537,537,537,2004,0, ,Steeles Ave E,Mccowan Rd,143.5 M W Milliken Park Trl, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.27283498,43.83158756,-79.27519599,43.83104536,-79.27401549,43.83131647,199.2299818,0,66,3,536,537,30023164,Steeles,Ave,E,None,Steeles Ave E,13441649,30023163,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,221922,221922,0.342724847,0.002422469
567,568,568,568,2006,0, ,Renforth Dr,Elmcrest Creek Trl,Bridgetown Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2008,-79.56804126,43.63611242,-79.56793886,43.63609044,-79.56799006,43.63610143,8.617222145,0,67,4,567,568,30009324,Renforth,Dr,None,None,Renforth Dr,13468860,30009323,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,189060,189060,0.008617222,0.000104742
613,614,614,614,2005,0, ,Mill St,Parliament St,Cherry St, , , , , , , , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, ,2021,-79.36214133,43.65019732,-79.35739204,43.65132984,-79.35976541,43.65075817,403.284376,0,68,8,613,614,1145341,Mill,St,None,TO,Mill St,13466646,13466560,-1,Against-Digitization,201500,Local,CITY OF TORONTO,None,233690,233690,0.202442259,0.004882468
624,625,625,625,2005,0, ,The Esplanade,Lower Sherbourne St,Berkeley St, , , , , , , , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, ,2021,-79.36730141,43.64904662,-79.36354396,43.6501104,-79.36540242,43.64948728,330.5505174,0,69,14,624,625,30126336,The Esplanade,None,None,None,The Esplanade,13466748,30126335,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,233656,233656,0.075358355,0.003946232
630,631,631,631,2008,2019, ,Royal York Rd,Ashley Park Rd,Ashley Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.5184037,43.66315468,-79.5185088,43.66338419,-79.51845625,43.66326943,26.87257488,0,70,5,630,631,910307,Royal York,Rd,None,None,Royal York Rd,13464923,13464880,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,182297,182297,0.026872575,0.000252433
631,632,632,632,2008,2019, ,Royal York Rd,Lambeth Rd,Royal York Crt, , , , , ,Sharrows - Arterial - Connector, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2015,-79.51711752,43.66030886,-79.5173426,43.660864,-79.51722978,43.66058654,64.29621006,0,71,6,631,632,910491,Royal York,Rd,None,None,Royal York Rd,13465360,13465275,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,4844,4844,0.064296213,0.000599041
633,634,634,634,2008,0, ,Lower Simcoe St,Front St W,Queens Quay W, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2016,-79.3850215,43.64477561,-79.38272498,43.63950541,-79.38390081,43.64212916,614.7363304,0,72,27,633,634,30127983,Lower Simcoe,St,None,None,Lower Simcoe St,14134889,14134880,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,231911,231911,0.090934327,0.005757376
