OID_,status,type,bicycle_cl,length,comfort_le,date_creat,time_creat,date_modif,time_modif,len_m,lenm,startx,starty,endx,endy,shape_id,OBJECTID,Join_Count,TARGET_FID,segment_id,full_name,built_stat,one_way,numeric_pr,name,street_typ,octant,plan_statu,ctp_class,ownership,date_creat_1,time_creat_1,date_modif_1,time_modif_1,date_mod_2,time_mod_2,lenkm,Shape_Length
869,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:04.0,141.316796890000006,141.316796890000006,-114.1604079,51.052650000000000,-114.1623379,51.052480299999999,869,869,6,868,811014,EDWORTHY ST SW,Built,B,0,EDWORTHY,ST,SW,RP,Residential Street,Private,,,2021-05-28 0:00,41:04.0,2022-02-18 0:00,13:00.0,0.013649905,0.00196576
870,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:05.0,462.469250375000001,462.469250375000001,-114.0831107,51.070546499999999,-114.0830489,51.074692900000002,870,870,25,869,38895,23 AV NW,Built,B,0,23,AV,NW,RP,Residential Street,Corporate,,,2021-05-28 0:00,41:05.0,2004-03-16 0:00,00:00.0,0.120261892,0.004172379
871,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:20.0,105.560935263000005,105.560935263000005,-114.0535602,51.040199399999999,-114.0534925,51.041147299999999,871,871,6,870,31972,12 AV SE,Built,B,0,12,AV,SE,RP,Urban Boulevard,Corporate,,,2021-05-28 0:00,44:20.0,1999-07-21 0:00,00:00.0,0.171384678,0.000950339
872,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:23.0,4.833211725900000,4.833211725900000,-114.0534925,51.041147299999999,-114.0534894,51.041190700000001,872,872,4,871,31972,12 AV SE,Built,B,0,12,AV,SE,RP,Urban Boulevard,Corporate,,,2021-05-28 0:00,44:23.0,1999-07-21 0:00,00:00.0,0.171384678,4.35125E-05
873,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,13.394571965600001,13.394571965600001,-113.9654038,51.110680899999998,-113.9654037,51.110560499999998,873,873,7,872,123544,MARTINDALE GA NE,Built,FT,0,MARTINDALE,GA,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2004-05-11 0:00,00:00.0,0.031083481,0.000120401
874,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:20.0,13.462262054700000,13.462262054700000,-113.9654031,51.112525699999999,-113.9654053,51.112404699999999,874,874,6,873,94647,MARTINDALE BV NE,Built,FT,0,MARTINDALE,BV,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:20.0,2002-01-31 0:00,00:00.0,0.054755347,0.000121022
875,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,11.737517384200000,11.737517384200000,-113.9652355,51.112526899999999,-113.9654031,51.112525699999999,875,875,5,874,94645,MARTINDALE BV NE,Built,FT,0,MARTINDALE,BV,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2002-01-30 0:00,00:00.0,0.078537571,0.000167605
876,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,28.736000404900000,28.736000404900000,-113.9654037,51.110560499999998,-113.9654036,51.110302200000000,876,876,6,875,79632,64 AV NE,Built,FT,0,64,AV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,2006-09-13 0:00,00:00.0,0.038397944,0.0002583
877,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2008-10-29 0:00,00:00.0,2021-05-28 0:00,44:25.0,134.917163582999990,134.917163582999990,-113.9654036,51.110302200000000,-113.9656726,51.109113200000003,877,877,5,876,79623,CASTLERIDGE BV NE,Built,FT,0,CASTLERIDGE,BV,NE,RP,Arterial Street,Corporate,2008-10-29 0:00,00:00.0,2021-05-28 0:00,44:25.0,2004-05-11 0:00,00:00.0,0.028735977,0.001246603
878,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2008-10-29 0:00,00:00.0,2021-05-28 0:00,44:22.0,37.945783038899997,37.945783038899997,-113.9656726,51.109113200000003,-113.9658897,51.108802099999998,878,878,5,877,79520,CASTLERIDGE BV NE,Built,FT,0,CASTLERIDGE,BV,NE,RP,Arterial Street,Corporate,2008-10-29 0:00,00:00.0,2021-05-28 0:00,44:22.0,2005-06-21 0:00,00:00.0,0.180059495,0.000381734
879,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,78.538514807100000,78.538514807100000,-113.9641204,51.112478199999998,-113.9652355,51.112526899999999,879,879,5,878,94644,MARTINDALE BV NE,Built,B,0,MARTINDALE,BV,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,2004-12-07 0:00,00:00.0,0.031902312,0.001117663
880,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,160.691941265999986,160.691941265999986,-113.9654053,51.112404699999999,-113.965404,51.110960300000002,880,880,6,879,123543,MARTINDALE GA NE,Built,FT,0,MARTINDALE,GA,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,2004-05-11 0:00,00:00.0,0.160691187,0.001444442
881,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,31.083655673100001,31.083655673100001,-113.965404,51.110960300000002,-113.9654038,51.110680899999998,881,881,6,880,123543,MARTINDALE GA NE,Built,FT,0,MARTINDALE,GA,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,2004-05-11 0:00,00:00.0,0.160691187,0.000279406
882,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,15.876327228099999,15.876327228099999,-113.9349281,51.107989300000000,-113.9351351,51.107939199999997,882,882,8,881,145188,68 ST NE,Built,FT,0,68,ST,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2006-01-04 0:00,00:00.0,0.054457065,0.000215209
883,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,134.129959890000009,134.129959890000009,-113.9330158,51.107977800000000,-113.9349281,51.107989300000000,883,883,9,882,145201,68 ST NE,Built,FT,0,68,ST,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2006-01-04 0:00,00:00.0,0.249457499,0.001913451
884,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,22.092416953099999,22.092416953099999,-113.9498162,51.106714799999999,-113.9500274,51.106862300000003,884,884,6,883,79297,CASTLERIDGE DR NE,Built,FT,0,CASTLERIDGE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:17.0,2006-04-28 0:00,00:00.0,0.041976417,0.00025761
885,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,13.407457989299999,13.407457989299999,-113.949688,51.106625299999997,-113.9498162,51.106714799999999,885,885,7,884,79317,FALCONRIDGE BV NE,Built,FT,0,FALCONRIDGE,BV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2003-07-14 0:00,00:00.0,0.030530856,0.000156352
886,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,14.538384402100000,14.538384402100000,-113.9495489,51.106528300000001,-113.949688,51.106625299999997,886,886,5,885,79279,FALSHIRE DR NE,Built,FT,0,FALSHIRE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2004-03-10 0:00,00:00.0,0.048888775,0.000169583
887,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,48.889058417500003,48.889058417500003,-113.9491399,51.106176699999999,-113.9495489,51.106528300000001,887,887,4,886,79279,FALSHIRE DR NE,Built,FT,0,FALSHIRE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2004-03-10 0:00,00:00.0,0.048888775,0.000544467
888,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,41.976991501400001,41.976991501400001,-113.9500274,51.106862300000003,-113.9504744,51.107108599999997,888,888,6,887,79297,CASTLERIDGE DR NE,Built,FT,0,CASTLERIDGE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2006-04-28 0:00,00:00.0,0.041976417,0.000513625
889,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,13.647394405100000,13.647394405100000,-113.9580517,51.099909500000003,-113.9582455,51.099922100000001,889,889,7,888,79339,FALCONRIDGE BV NE,Built,FT,0,FALCONRIDGE,BV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2006-05-02 0:00,00:00.0,0.025671595,0.00019421
890,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,23.100983591300000,23.100983591300000,-113.9584359,51.099934699999999,-113.9587639,51.099956300000002,890,890,7,889,79255,CASTLERIDGE BV NE,Built,FT,0,CASTLERIDGE,BV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,1999-07-21 0:00,00:00.0,0.028432838,0.000328712
891,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,13.410561939999999,13.410561939999999,-113.9582455,51.099922100000001,-113.9584359,51.099934699999999,891,891,10,890,79326,FALCONRIDGE BV NE,Built,FT,0,FALCONRIDGE,BV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2003-07-14 0:00,00:00.0,0.02956925,0.000190817
892,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,35.365097806300000,35.365097806300000,-113.9587639,51.099956300000002,-113.9592632,51.099942200000001,892,892,5,891,79264,CASTLERIDGE BV NE,Built,FT,0,CASTLERIDGE,BV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2004-06-09 0:00,00:00.0,0.023100661,0.000501525
893,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,48.698894728900001,48.698894728900001,-113.957379,51.099817500000000,-113.9580517,51.099909500000003,893,893,5,892,79260,FALCONRIDGE DR NE,Built,FT,0,FALCONRIDGE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2004-06-09 0:00,00:00.0,0.036865481,0.000681848
894,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,13.572597391100000,13.572597391100000,-113.9407478,51.110694100000003,-113.9407476,51.110572099999999,894,894,7,893,130444,64 AV NE,Built,FT,0,64,AV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2006-04-27 0:00,00:00.0,0.031229086,0.000122
895,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,62.346104226199998,62.346104226199998,-113.9406751,51.111248000000003,-113.9407478,51.110694100000003,895,895,6,894,130452,TARARIDGE DR NE,Built,FT,0,TARARIDGE,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,2003-09-03 0:00,00:00.0,0.040629793,0.000569788
896,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:20.0,22.751131462200000,22.751131462200000,-113.9407476,51.110572099999999,-113.9407473,51.110367599999996,896,896,6,895,130444,64 AV NE,Built,FT,0,64,AV,NE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:20.0,2006-04-27 0:00,00:00.0,0.031229086,0.00020451
897,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,39.468462270200000,39.468462270200000,-113.9407473,51.110367599999996,-113.9406735,51.110019299999998,897,897,5,896,79421,FALTON DR NE,Built,B,0,FALTON,DR,NE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2006-04-27 0:00,00:00.0,0.135348242,0.000364108
898,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2001-01-12 0:00,00:00.0,2021-05-28 0:00,44:19.0,94.191627110499994,94.191627110499994,-114.1892613,51.083861300000002,-114.1905976,51.083811300000001,898,898,6,897,179912,71 ST NW,Built,B,0,71,ST,NW,RP,Residential Street,Corporate,2001-01-12 0:00,00:00.0,2021-05-28 0:00,44:19.0,2001-01-12 0:00,00:00.0,0.052999485,0.001339475
899,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,37.207044621400001,37.207044621400001,-114.1887304,51.083865699999997,-114.1892613,51.083861300000002,899,899,6,898,179921,34 AV NW,Built,FT,0,34,AV,NW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,2023-05-01 0:00,28:03.0,0.065322808,0.000530935
900,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,75.676799661499999,75.676799661499999,-114.1876504,51.083865600000003,-114.1887304,51.083865699999997,900,900,8,899,81128,34 AV NW,Built,FT,0,34,AV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2023-05-01 0:00,11:48.0,0.026685174,0.001080001
901,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,14.663332566099999,14.663332566099999,-114.0688355,50.957883000000002,-114.0686909,50.957973099999997,901,901,6,900,126060,WILLOW PARK DR SE,Built,B,0,WILLOW PARK,DR,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,1999-07-21 0:00,00:00.0,0.049419712,0.000174503
902,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,2001-10-12 0:00,00:00.0,2021-05-28 0:00,41:02.0,36.306564249200001,36.306564249200001,-114.0744993,50.956146300000000,-114.0745872,50.956467900000000,902,902,4,901,229460,SOUTHPORT WY SW,Built,B,0,SOUTHPORT,WY,SW,RP,Residential Street,Corporate,2001-10-12 0:00,00:00.0,2021-05-28 0:00,41:02.0,1900-01-01 0:00,00:00.0,0.071075788,0.0003334
903,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,267.414650004999999,267.414650004999999,-113.9817367,50.920169399999999,-113.981833,50.917779400000001,903,903,7,902,128905,MT SELKIRK CL SE,Built,FT,0,MT SELKIRK,CL,SE,RP,Residential Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,2018-02-12 0:00,45:35.0,0.07694292,0.002424268
904,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,11.235320495300000,11.235320495300000,-113.9817122,50.920269200000000,-113.9817367,50.920169399999999,904,904,7,903,128950,MT BREWSTER CI SE,Built,FT,0,MT BREWSTER,CI,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,2016-08-31 0:00,05:53.0,0.01111501,0.000102763
905,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,13.383779995599999,13.383779995599999,-113.9812871,50.916474700000002,-113.9814757,50.916458599999999,905,905,7,904,128881,MCKENZIE LAKE BV SE,Built,FT,0,MCKENZIE LAKE,BV,SE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:26.0,2006-06-30 0:00,00:00.0,0.041175856,0.000189288
906,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2001-05-02 0:00,00:00.0,2021-05-28 0:00,44:16.0,22.738148240600001,22.738148240600001,-113.9815196,50.916661099999999,-113.9814757,50.916458599999999,906,906,5,905,128883,MCKENZIE LAKE BV SE,Built,FT,0,MCKENZIE LAKE,BV,SE,RP,Arterial Street,Corporate,2001-05-02 0:00,00:00.0,2021-05-28 0:00,44:16.0,2016-08-31 0:00,33:14.0,0.013383496,0.000207207
907,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,13.553372051100000,13.553372051100000,-113.9814757,50.916458599999999,-113.9814495,50.916337900000002,907,907,6,906,128880,MCKENZIE LAKE BV SE,Built,FT,0,MCKENZIE LAKE,BV,SE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:22.0,1999-07-21 0:00,00:00.0,0.013417369,0.000123512
908,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,2001-05-02 0:00,00:00.0,2021-05-28 0:00,43:28.0,35.138202589300001,35.138202589300001,-113.9815878,50.916974000000003,-113.9815196,50.916661099999999,908,908,4,907,128889,,Built,B,0,,,,RP,Residential Street,Private,2001-05-02 0:00,00:00.0,2021-05-28 0:00,43:28.0,2010-05-03 0:00,31:52.0,0.01283226,0.000320252
909,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,35.390981138500003,35.390981138500003,-114.1355182,50.976617699999998,-114.1359296,50.976801299999998,909,909,5,908,83787,90 AV SW,Built,FT,0,90,AV,SW,RP,Parkway,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,2004-03-10 0:00,00:00.0,0.181579177,0.000450563
910,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,22.788928978600001,22.788928978600001,-114.1180562,50.954187300000001,-114.1183805,50.954186499999999,910,910,6,909,82533,24 ST SW,Built,FT,0,24,ST,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,1999-07-21 0:00,00:00.0,0.031016315,0.000324308
911,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,14.088798849600000,14.088798849600000,-114.1178557,50.954187800000000,-114.1180562,50.954187300000001,911,911,7,910,82533,24 ST SW,Built,FT,0,24,ST,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,1999-07-21 0:00,00:00.0,0.031016315,0.000200502
912,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,80.937486961600001,80.937486961600001,-114.1167203,50.954139499999997,-114.1178557,50.954187800000000,912,912,6,911,126191,24 ST SW,Built,FT,0,24,ST,SW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2002-12-30 0:00,00:00.0,0.226501033,0.00114222
913,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,97.859224858600001,97.859224858600001,-114.1183805,50.954186499999999,-114.1197629,50.954112199999997,913,913,7,912,82538,OAKFIELD DR SW,Built,FT,0,OAKFIELD,DR,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:19.0,1999-07-21 0:00,00:00.0,0.120113324,0.001386527
914,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:04.0,124.485668597000000,124.485668597000000,-114.083218,51.019276900000001,-114.083639,51.020109800000000,914,914,8,913,42115,8 ST SW,Built,B,0,8,ST,SW,RP,Residential Street,Corporate,,,2021-05-28 0:00,41:04.0,2004-12-06 0:00,00:00.0,0.173025438,0.001274278
915,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:05.0,52.192261341399998,52.192261341399998,-114.0831009,51.017983500000000,-114.0831014,51.018421099999998,915,915,5,914,42194,RIVERDALE AV SW,Built,B,0,RIVERDALE,AV,SW,RP,Residential Street,Corporate,,,2021-05-28 0:00,41:05.0,2004-12-06 0:00,00:00.0,0.119228294,0.000503867
916,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:08.0,84.582749581399995,84.582749581399995,-114.0831424,51.018448599999999,-114.0832229,51.019207199999997,916,916,1,915,845831,SIFTON BV SW,Built,B,0,SIFTON,BV,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:08.0,2018-03-09 0:00,43:34.0,0.203229123,0.000762876
917,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:07.0,4.199647943350000,4.199647943350000,-114.0831014,51.018421099999998,-114.0831424,51.018448599999999,917,917,0,916,,,,,,,,,,,,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:07.0,,,,4.9369E-05
918,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:06.0,7.761685634830000,7.761685634830000,-114.0832229,51.019207199999997,-114.083218,51.019276900000001,918,918,1,917,845831,SIFTON BV SW,Built,B,0,SIFTON,BV,SW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,41:06.0,2018-03-09 0:00,43:34.0,0.203229123,6.9873E-05
919,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,138.065735093000001,138.065735093000001,-114.0602907,50.953783500000000,-114.0595436,50.952883000000000,919,919,5,918,127073,WILLINGDON BV SE,Built,FT,0,WILLINGDON,BV,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:16.0,1999-07-21 0:00,00:00.0,0.138064591,0.001481683
920,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,14.353329985200000,14.353329985200000,-114.0602907,50.953783500000000,-114.0601796,50.953890899999998,920,920,5,919,127073,WILLINGDON BV SE,Built,FT,0,WILLINGDON,BV,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,1999-07-21 0:00,00:00.0,0.138064591,0.000155575
921,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,9.941982861420000,9.941982861420000,-114.042052,50.948339099999998,-114.0420629,50.948250000000002,921,921,7,920,80571,ANDERSON RD SE,Built,FT,0,ANDERSON,RD,SE,RP,Skeletal Road,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,1999-07-21 0:00,00:00.0,0.146728021,8.97702E-05
922,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,16.456216821500000,16.456216821500000,-114.0420629,50.948250000000002,-114.0420834,50.948102700000000,922,922,11,921,80571,ANDERSON RD SE,Built,FT,0,ANDERSON,RD,SE,RP,Skeletal Road,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,1999-07-21 0:00,00:00.0,0.146728021,0.000148859
923,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,10.943771631800001,10.943771631800001,-114.0429872,50.943620400000000,-114.042847,50.943577599999998,923,923,6,922,81698,LAKE SYLVAN DR SE,Built,B,0,LAKE SYLVAN,DR,SE,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:30.0,1999-07-21 0:00,00:00.0,0.050612374,0.000146588
924,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,11.369726567900001,11.369726567900001,-114.0425523,50.945055099999998,-114.0423915,50.945043900000002,924,924,7,923,81693,120 AV SE,Built,B,0,120,AV,SE,RP,Residential Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,43:28.0,2004-05-04 0:00,00:00.0,0.096553857,0.00016119
925,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:21.0,222.503173865999997,222.503173865999997,-114.0415162,50.951025399999999,-114.0419262,50.949045200000000,925,925,5,924,80611,ACADIA DR SE,Built,FT,0,ACADIA,DR,SE,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,2021-05-28 0:00,44:21.0,1999-07-21 0:00,00:00.0,0.222502105,0.002029142
926,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:05.0,741.842126982999957,741.842126982999957,-114.1055645,51.050204399999998,-114.0949855,51.050211500000003,926,926,14,925,3358,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,,,2021-05-28 0:00,41:05.0,2005-07-18 0:00,00:00.0,0.051730897,0.010579128
927,EXISTING,REGIONAL,On-Street Bikeway,,2 - Community Street,,,2021-05-28 0:00,41:05.0,497.210050474000013,497.210050474000013,-114.1104588,51.052021199999999,-114.1175494,51.052013400000000,927,927,11,926,33492,WESTMOUNT RD NW,Built,B,0,WESTMOUNT,RD,NW,RP,Residential Street,Corporate,,,2021-05-28 0:00,41:05.0,2004-12-06 0:00,00:00.0,0.171014919,0.007090732
928,EXISTING,REGIONAL,On-Street Bikeway,,4 - Major Street,,,2021-05-28 0:00,44:18.0,1523.290563320000047,1523.290563320000047,-114.1062962,51.079014600000001,-114.1069207,51.091649799999999,928,928,44,927,39380,COLLINGWOOD DR NW,Built,B,0,COLLINGWOOD,DR,NW,RP,Collector,Corporate,,,2021-05-28 0:00,44:18.0,2001-02-08 0:00,00:00.0,0.092844928,0.015060081
