road_type,year,verify_install_year,len,adj_len,road_type_recode,verify_install_type,install_len,upgrade1_len,upgrade1_len_replaced,upgrade2_len,upgrade2_len_replaced
Collector,2012,,,0,,BUF,0,0,0,0,0
Collector,2012,,,0,,PBL,0,0,0,0,0
Collector,2012,,,24.595543317673084,,PL,24.595543317673084,0,0,0,0
Collector,2013,,,0,,BUF,0,0,0,0,0
Collector,2013,,,0,,PBL,0,0,0,0,0
Collector,2013,,,25.75165222721932,,PL,25.75165222721932,0,0,0,0
Collector,2014,,,0.08279462543621306,,BUF,0.08279462543621306,0,0,0,0
Collector,2014,,,1.6176932440365785,,PBL,0.6036320590021123,1.0140611850344663,0,0,0
Collector,2014,,,27.261046906284655,,PL,28.275108091319122,0,1.0140611850344663,0,0
Collector,2015,,,0,,BUF,0.08279462543621306,0,0.08279462543621306,0,0
Collector,2015,,,1.9255125120627792,,PBL,0.6036320590021123,1.321880453060667,0,0,0
Collector,2015,,,27.652312805863083,,PL,28.891398633487537,0,1.2390858276244539,0,0
Collector,2016,,,0,,BUF,0.08279462543621306,0,0.08279462543621306,0,0
Collector,2016,,,2.9234610265697447,,PBL,0.9865470163262636,1.936914010243481,0,0,0
Collector,2016,,,27.498662191803312,,PL,28.971220134077004,0.3815614425335787,1.854119384807268,0,0
Collector,2017,,,0,,BUF,0.08279462543621306,0,0.08279462543621306,0,0
Collector,2017,,,2.9234610265697447,,PBL,0.9865470163262636,1.936914010243481,0,0,0
Collector,2017,,,28.825550502053908,,PL,29.813221543853906,0.8664483430072719,1.854119384807268,0,0
Collector,2018,,,1.939301125463192,,BUF,2.022095750899405,0,0.08279462543621306,0,0
Collector,2018,,,2.9234610265697447,,PBL,0.9865470163262636,1.936914010243481,0,0,0
Collector,2018,,,29.696157588584683,,PL,30.68382863038468,0.8664483430072719,1.854119384807268,0,0
Collector,2019,,,2.3634176316514712,,BUF,2.446212257087684,0,0.08279462543621306,0,0
Collector,2019,,,3.0625090774065464,,PBL,1.1255950671630652,1.936914010243481,0,0,0
Collector,2019,,,30.47243798568097,,PL,31.089125775934406,1.2374315945538328,1.854119384807268,0,0
Collector,2020,,,2.59219448816106,,BUF,2.674989113597273,0,0.08279462543621306,0,0
Collector,2020,,,5.15913189148078,,PBL,1.916904610659692,3.2422272808210884,0,0,0
Collector,2020,,,31.479674589660803,,PL,33.401675650491846,1.2374315945538328,3.159432655384875,0,0
Collector,2021,,,1.4132441987609188,,BUF,2.674989113597273,0.20664117358209666,1.4683860884184508,0,0
Collector,2021,,,10.92724146766324,,PBL,3.4059324615178803,7.521309006145359,0,0,0
Collector,2021,,,28.379543153736673,,PL,33.401675650491846,1.2374315945538328,6.259564091309006,0,0
Collector,2022,,,1.4132441987609188,,BUF,2.674989113597273,0.20664117358209666,1.4683860884184508,0,0
Collector,2022,,,11.145157368986085,,PBL,3.6238483628407265,7.521309006145359,0,0,0
Collector,2022,,,28.379543153736673,,PL,33.401675650491846,1.2374315945538328,6.259564091309006,0,0
Local,2007,,,1.8195705267403235,,PL,1.8195705267403235,0,0,0,0
Local,2009,,,0,,BUF,0,0,0,0,0
Local,2009,,,0,,None,0,0,0,0,0
Local,2009,,,0,,PBL,0,0,0,0,0
Local,2009,,,4.145214660969684,,PL,4.145214660969684,0,0,0,0
Local,2010,,,0,,BUF,0,0,0,0,0
Local,2010,,,0,,None,0,0,0,0,0
Local,2010,,,0,,PBL,0,0,0,0,0
Local,2010,,,4.145214660969684,,PL,4.145214660969684,0,0,0,0
Local,2011,,,0,,BUF,0,0,0,0,0
Local,2011,,,0,,None,0,0,0,0,0
Local,2011,,,0,,PBL,0,0,0,0,0
Local,2011,,,4.145214660969684,,PL,4.145214660969684,0,0,0,0
Local,2012,,,0,,BUF,0,0,0,0,0
Local,2012,,,0,,None,0,0,0,0,0
Local,2012,,,0,,PBL,0,0,0,0,0
Local,2012,,,4.145214660969684,,PL,4.145214660969684,0,0,0,0
Local,2013,,,0,,BUF,0,0,0,0,0
Local,2013,,,0,,None,0,0,0,0,0
Local,2013,,,0,,PBL,0,0,0,0,0
Local,2013,,,4.145214660969684,,PL,4.145214660969684,0,0,0,0
Local,2014,,,0,,BUF,0,0,0,0,0
Local,2014,,,0,,None,0,0,0,0,0
Local,2014,,,0,,PBL,0,0,0,0,0
Local,2014,,,5.700040294416228,,PL,5.700040294416228,0,0,0,0
Local,2015,,,0,,BUF,0,0,0,0,0
Local,2015,,,0.11990667010140246,,None,0.11990667010140246,0,0,0,0
Local,2015,,,0,,PBL,0,0,0,0,0
Local,2015,,,8.809679112182632,,PL,7.430674027790665,1.379005084391967,0,0,0
Local,2016,,,0,,BUF,0,0,0,0,0
Local,2016,,,0.11990667010140246,,None,0.11990667010140246,0,0,0,0
Local,2016,,,0,,PBL,0,0,0,0,0
Local,2016,,,9.196449197995205,,PL,7.817444113603238,1.379005084391967,0,0,0
Local,2017,,,0,,BUF,0,0,0,0,0
Local,2017,,,0.11990667010140246,,None,0.11990667010140246,0,0,0,0
Local,2017,,,0,,PBL,0,0,0,0,0
Local,2017,,,10.652804996419304,,PL,9.273799912027338,1.379005084391967,0,0,0
Local,2018,,,0.2836853930662742,,BUF,0.2836853930662742,0,0,0,0
Local,2018,,,0.11990667010140246,,None,0.11990667010140246,0,0,0,0
Local,2018,,,0,,PBL,0,0,0,0,0
Local,2018,,,11.78028884607497,,PL,10.401283761683004,1.379005084391967,0,0,0
Local,2019,,,0.2836853930662742,,BUF,0.2836853930662742,0,0,0,0
Local,2019,,,0.11990667010140246,,None,0.11990667010140246,0,0,0,0
Local,2019,,,0.03535859974261314,,PBL,0.03535859974261314,0,0,0,0
Local,2019,,,12.136956837388748,,PL,10.757951752996782,1.379005084391967,0,0,0
Local,2020,,,0.2836853930662742,,BUF,0.2836853930662742,0,0,0,0
Local,2020,,,0,,None,0.11990667010140246,0,0.11990667010140246,0,0
Local,2020,,,0.03535859974261314,,PBL,0.03535859974261314,0,0,0,0
Local,2020,,,14.48531688768791,,PL,12.986405133194541,1.4989117544933694,0,0,0
Local,2021,,,0.2836853930662742,,BUF,0.2836853930662742,0,0,0,0
Local,2021,,,0,,None,0.11990667010140246,0,0.11990667010140246,0,0
Local,2021,,,0.8791487788630672,,PBL,0.4475551359029946,0.43159364296007263,0,0,0
Local,2021,,,17.488098155424755,,PL,16.420780043891458,1.4989117544933694,0.43159364296007263,0,0
Local,2022,,,0.2836853930662742,,BUF,0.2836853930662742,0,0,0,0
Local,2022,,,0,,None,0.11990667010140246,0,0.11990667010140246,0,0
Local,2022,,,1.2814779485333654,,PBL,0.8498843055732929,0.43159364296007263,0,0,0
Local,2022,,,17.488098155424755,,PL,16.420780043891458,1.4989117544933694,0.43159364296007263,0,0
